id_origen;nombre;descripcion;actor;entradas_salidas;precondicion_postcondicion;prioridad_moscow;criterio_verificacion
H-014;Observación por pedúnculo superior a 5 centímetros;Función: Generar una observación de calidad al productor cuando el pedúnculo medido en la base del racimo supere 5 cm.;Técnico de extractora;Entrada: longitud del pedúnculo. Salida: observación asociada a la recepción y comunicada al productor.;Precondición: evaluación de calidad en curso. | Postcondición: observación incorporada a la calificación.;Should;"Verificación: Con 5,5 cm generar la observación; con 5,0 cm o menos no generarla."
H-015;Rechazo por malformación superior al 30 por ciento;Función: Marcar la fruta como no recibida cuando la malformación evaluada supere el 30 %.;Técnico de extractora;Entrada: porcentaje de malformación. Salida: recepción o rechazo con motivo.;Precondición: malformación evaluada. | Postcondición: regla aplicada y motivo registrado.;Must;"Verificación: Con 30,5 % marcar la fruta como no recibida; con 30 % o menos permitir continuar la recepción."
H-016;Devolución de la carga rechazada y cierre en báscula;Función: Registrar la devolución de fruta rechazada en el mismo vehículo, exigiendo peso de salida y emisión del tiquete antes de cerrar la recepción.;Basculero / Técnico de extractora;Entrada: recepción rechazada y peso de salida. Salida: recepción devuelta y tiquete emitido.;Precondición: carga rechazada. | Postcondición: devolución cerrada con su tiquete.;Must;Verificación: Una recepción rechazada no puede cerrarse sin registrar el peso de salida y emitir el tiquete de devolución.
H-017;Calificación del tamaño de la fruta;Función: Registrar en cada entrega una única categoría de tamaño: grande, mediana o pequeña.;Técnico de extractora;Entrada: categoría de tamaño. Salida: entrega con tamaño registrado.;Precondición: recepción evaluada. | Postcondición: categoría almacenada en la calificación.;Should;Verificación: La entrega conserva exactamente una de las tres categorías y no admite dos simultáneas.
H-018;Registro de los indicadores de defecto de la entrega;Función: Registrar por entrega los indicadores de fruta verde, sobremadura, malformada y pedúnculos largos.;Técnico de extractora;Entrada: cuatro indicadores de defecto. Salida: calificación asociada a la recepción.;Precondición: carga evaluada. | Postcondición: indicadores disponibles para ticket e histórico.;Should;Verificación: La calificación conserva los cuatro indicadores y permite recuperarlos asociados a la recepción y su fecha.
H-019;Emisión del ticket de pesaje;Función: Emitir un ticket con peso bruto, tara, peso neto, productor, finca, transportista, placa, fecha y hora de ingreso y calificación de la fruta.;Basculero / Técnico de extractora;Entrada: recepción con pesos y calificación. Salida: ticket con nueve campos.;Precondición: peso neto y calificación registrados. | Postcondición: ticket emitido y vinculado a la recepción.;Must;Verificación: El ticket presenta los nueve campos declarados y no puede emitirse sin peso neto o calificación.
H-020;Entrega del ticket al productor y envío por correo;Función: Permitir la entrega del ticket al conductor o productor presente y su envío automático por correo cuando exista una dirección registrada, dejando constancia del resultado.;Productor / Técnico de extractora;Entrada: ticket emitido y correo del productor. Salida: constancia de entrega y estado enviado o fallido.;Precondición: ticket emitido. | Postcondición: entrega registrada y, si aplica, estado del correo.;Should;"Verificación: Con correo registrado, enviar el ticket y almacenar el estado; sin correo, conservar solo la entrega física sin generar error."
H-021;Identificación anticipada de productores con recurrencia de fruta verde;Función: Identificar mediante el histórico a los productores con mayor recurrencia de fruta verde y generar el listado al menos un mes antes del período de baja productividad de julio a octubre.;Técnico de extractora;Entrada: histórico de calificaciones y período de baja productividad. Salida: listado priorizado de productores para intervención anticipada.;Precondición: existen entregas calificadas previas. | Postcondición: listado disponible un mes antes del período configurado.;Should;Verificación: Con julio como inicio del período de baja productividad, generar en junio el listado ordenado por recurrencia de fruta verde.
H-022;Programación de visitas de campo y capacitaciones;Función: Programar visitas de campo y capacitaciones para productores identificados, registrando finca, fecha, motivo y participantes, y permitir cerrarlas como realizadas.;Técnico de extractora / Productor;Entrada: productor, finca, fecha, motivo y participantes. Salida: actividad programada con estado.;Precondición: productor identificado. | Postcondición: actividad en agenda y disponible para cierre.;Should;Verificación: Una visita conserva finca, fecha, motivo y participantes y permite separar actividades pendientes de realizadas.
H-023;Excepción de recepción limitada al día de la capacitación;Función: Registrar una excepción para recibir fruta que incumple indicadores solo en la fecha de capacitación y para el productor participante, impidiendo usarla después.;Técnico de extractora;Entrada: capacitación, productor participante y fecha. Salida: excepción solo para esa fecha y productor.;Precondición: capacitación programada con productor. | Postcondición: excepción vinculada solo a la fecha declarada.;Could;"Verificación: Una excepción del 10 de julio no aplica a una entrega del mismo productor el 11 de julio; esa entrega se procesa como devolución."
H-024;Proyección de recepción frente a la capacidad de las extractoras;Función: Consolidar estimaciones de cosecha por período, compararlas con la capacidad de cada extractora, señalar excedentes y permitir redistribuirlos a plantas con capacidad disponible.;Administración de extractora;Entrada: estimaciones del período y capacidad por planta. Salida: proyección, excedente y propuesta de distribución.;Precondición: existen estimaciones y capacidades por planta. | Postcondición: asignación de fruta registrada por planta.;Should;Verificación: Si una proyección supera la capacidad configurada, mostrar el excedente en toneladas y permitir reasignarlo a otra planta con capacidad disponible.
H-025;Histórico de producción por finca;Función: Mantener un histórico por finca con conteo de racimos, peso promedio informado y peso neto recibido, permitiendo comparar períodos sin datos personales del productor.;Técnico de extractora / Administración;Entrada: estimaciones de la finca y pesos netos del período. Salida: serie histórica por finca y variación entre períodos.;Precondición: al menos dos períodos con datos. | Postcondición: serie consultable sin datos personales.;Could;Verificación: Con dos períodos registrados, mostrar por finca conteo de racimos, peso promedio, peso neto y variación entre períodos, sin datos personales.
